pais_bloco,fk_pais,fk_calendario,populacao,id_energia
SVK,37,20,5299187.0,835
SVN,38,20,1998161.0,836
SWE,41,20,8558835.0,837
THA,43,20,55228410.0,838
USA,46,20,249623000.0,839
ZAF,39,20,39877570.0,840
AUS,2,21,17284036.0,841
AUT,3,21,7754891.0,842
BEL,4,21,10004486.0,843
BRA,5,21,153336445.0,844
CAN,6,21,28037420.0,845
CHE,42,21,6799978.0,846
CHL,7,21,13561945.0,847
CHN,8,21,1150780000.0,848
COL,9,21,33272628.0,849
DEU,15,21,80013896.0,850
DNK,11,21,5154298.0,851
ESP,40,21,38966376.0,852
EST,12,21,1561314.0,853
FIN,13,21,5013740.0,854
FRA,14,21,58557577.0,855
GBR,45,21,57424897.0,856
GRC,16,21,10319927.0,857
HUN,17,21,10373400.0,858
IDN,20,21,185361228.0,859
IND,19,21,888941756.0,860
IRL,21,21,3534235.0,861
ISL,18,21,257797.0,862
ISR,22,21,4949000.0,863
ITA,23,21,56758521.0,864
JPN,24,21,123964000.0,865
LTU,27,21,3704134.0,866
LUX,28,21,387000.0,867
LVA,26,21,2650581.0,868
MAR,30,21,24988083.0,869
MEX,29,21,83351595.0,870
NLD,31,21,15069798.0,871
NOR,33,21,4261732.0,872
